iter	RMSE
126	7585218.165
127	7574439.898
128	7570703.39
129	7567273.291
130	7561072.49
131	7556508.133
132	7550210.557
133	7547178.547
134	7534416.124
135	7529844.648
136	7521467.33
137	7516951.525
138	7510052.737
139	7506771.376
140	7502529.663
141	7495669.103
142	7489815.441
143	7482865.466
144	7479313.945
145	7475639.195
146	7468021.43
147	7463019.198
148	7454836.287
149	7446169.444
150	7440726.686
151	7437079.821
152	7432609.833
153	7423566.616
154	7415784.77
155	7406817.455
156	7403599.748
157	7399527.717
158	7396029.464
159	7390148.151
160	7384948.74
161	7379306.459
162	7375203.429
163	7366797.991
164	7363854.023
165	7359049.076
166	7354856.065
167	7349864.465
168	7345308.976
169	7341998.084
170	7335726.94
171	7330398.416
172	7327733.886
173	7324098.439
174	7317251.161
175	7311066.382
176	7307744.367
177	7301932.087
178	7295508.774
179	7291010.791
180	7286399.563
181	7279582.663
182	7275748.819
183	7273956.784
184	7270932.907
185	7267540.781
186	7264134.075
187	7260913.578
188	7258173.427
189	7253479.282
190	7246531.101
191	7240830.436
192	7237244.483
193	7231865.12
194	7228322.292
195	7224573.321
196	7221256.063
197	7214902.84
198	7207325.74
199	7204183.132
200	7199347.91
201	7195802.091
202	7192373.093
203	7187576.861
204	7183536.778
205	7177766.983
206	7174711.956
207	7168456.132
208	7163843.745
209	7160767.091
210	7156760.022
211	7149213.392
212	7144977.262
213	7139691.916
214	7133159.338
215	7127905.709
216	7124955.781
217	7119166.507
218	7114886.342
219	7108543.826
220	7105066.666
221	7102066.019
222	7096324.898
223	7093648.501
224	7088290.346
225	7082754.066
226	7078552.605
227	7075633.888
228	7073002.093
229	7071233.493
230	7068194.337
231	7062841.562
232	7057338.432
233	7052769.753
234	7048905.387
235	7046421.755
236	7042801.647
237	7038348.296
238	7035449.011
239	7031756.228
240	7028920.025
241	7024925.859
242	7020657.486
243	7017516.951
244	7012718.566
245	7010124.454
246	7007254.843
247	7001264.489
248	6993644.318
249	6985370.832
250	6981640.72
251	6977738.374
252	6974306.208
253	6971400.219
254	6968754.298
255	6965401.259
256	6960645.009
257	6957689.266
258	6954783.875
259	6952360.213
260	6944935.4
261	6942453.004
262	6940440.161
263	6936744.367
264	6932907.411
265	6930500.654
266	6926363.241
267	6925019.814
268	6922302.302
269	6918795.171
270	6915086.026
271	6912930.342
272	6907385.686
273	6905538.208
274	6902842.451
275	6901277.168
276	6898723.694
277	6894592.205
278	6891873.782
279	6889086.037
280	6885509.535
281	6882834.793
282	6879967.003
283	6876052.9
284	6873411.177
285	6869906.25
286	6864106.801
287	6862121.216
288	6859644.409
289	6855199.727
290	6852897.463
291	6848129.725
292	6843622.595
293	6840292.562
294	6835906.196
295	6829958.895
296	6826296.373
297	6824252.728
298	6822863.244
299	6821819.578
300	6818096.917
301	6814346.68
302	6811362.743
303	6805170.895
304	6803727.574
305	6799546.507
306	6796891.596
307	6793355.795
308	6785835.212
309	6781374.277
310	6778401.685
311	6775531.048
312	6772883.112
313	6770807.975
314	6766669.976
315	6764118.747
316	6759572.585
317	6757138.244
318	6754274.61
319	6753112.021
320	6749580.913
321	6745199.593
322	6742197.62
323	6739621.479
324	6737294.433
325	6733351.571
326	6732217.659
327	6730366.688
328	6728920.025
329	6725440.782
330	6722922.448
331	6719781.407
332	6718336.79
333	6715811.041
334	6712136.526
335	6709585.667
336	6705384.178
337	6703521.307
338	6699711.941
339	6694996.395
340	6691067.698
341	6687191.175
342	6685884.09
343	6683952.96
344	6680352.466
345	6677304.655
346	6674981.681
347	6672175.238
348	6671517.102
349	6667604.398
350	6664370.094
351	6659798.836
352	6654971.275
353	6653744.059
354	6651525.869
355	6648596.812
356	6643285.709
357	6638549.563
358	6636784.987
359	6633071.289
360	6630695.896
361	6626478.345
362	6621731.544
363	6618268.228
364	6615949.874
365	6612680.844
366	6611238.637
367	6607397.713
368	6605726.575
369	6603052.165
370	6599113.616
371	6596792.959
372	6595025.217
373	6591725.84
374	6590583.994
375	6587542.511
376	6585744.879
377	6583696.073
378	6580911.744
379	6579434.522
380	6575738.817
381	6572168.76
382	6570011.71
383	6567931.849
384	6563424.914
385	6562457.778
386	6560448.833
387	6557049.329
388	6552899.337
389	6549854.49
390	6545313.222
391	6543052.208
392	6540482.063
393	6538372.731
394	6536460.466
395	6533260.683
396	6531635.465
397	6529230.182
398	6527061.805
399	6524812.036
400	6522743.882
401	6519651.394
402	6516270.604
403	6513485.502
404	6511507.301
405	6509618.688
406	6509591.132
407	6508205.972
408	6505168.164
409	6502812.353
410	6501744.928
411	6500272.428
412	6498468.318
413	6496950.101
414	6495667.641
415	6494134.202
416	6492423.713
417	6490478.356
418	6488809.285
419	6487087.536
420	6486520.633
421	6483564.102
422	6483538.745
423	6483512.751
424	6482177.195
425	6480302.003
426	6476844.216
427	6471116.76
428	6469790.561
429	6469158.913
430	6466915.251
431	6464453.683
432	6462119.279
433	6459712.769
434	6457871.523
435	6456031.786
436	6454992.708
437	6454969.949
438	6454948.395
439	6452975.605
440	6450530.227
441	6447117.336
442	6445156.999
443	6443991.877
444	6441380.006
445	6439258.212
446	6437757.972
447	6435408.639
448	6433781.93
449	6432000.274
450	6429967.61
451	6427367.877
452	6425583.07
453	6425568.388
454	6424014.273
455	6421686.35
456	6421509.771
457	6416942.027
458	6414897.3
459	6412430.703
460	6411656.679
461	6410884.38
462	6408797.394
463	6406929.474
464	6405460.279
465	6404368.205
466	6401961.654
467	6400007.717
468	6393641.304
469	6391197.717
470	6390027.542
471	6389576.199
472	6386471.805
473	6383699.295
474	6382246.584
475	6379273.024
476	6378635.902
477	6375958.921
478	6374224.381
479	6371543.014
480	6369242.419
481	6367174.585
482	6366076.841
483	6361969.235
484	6360743.352
485	6359172.486
486	6357435.597
487	6355024.292
488	6354557.943
489	6352359.299
490	6350991.826
491	6349598.243
492	6347226.499
493	6344618.194
494	6341011.658
495	6338657.243
496	6338051.767
497	6333835.986
498	6330963.303
499	6329932.561
500	6326389.904
501	6325181.304
502	6324371.721
503	6322397.296
504	6322369.263
505	6320758.017
506	6317892.011
507	6313851.504
508	6309242.237
509	6305158.955
510	6303352.898
511	6299231.28
512	6299149.438
513	6296214.481
514	6293673.691
515	6291901.005
516	6289640.627
517	6288223.949
518	6285300.811
519	6283757.521
520	6281516.246
521	6279654.688
522	6277623.96
523	6273173.976
524	6273161.228
525	6271488.302
526	6271474.108
527	6267774.083
528	6266331.467
529	6263446.579
530	6261807.938
531	6260509.698
532	6259353.755
533	6256651.275
534	6252927.021
535	6251507.065
536	6248612.131
537	6247592.726
538	6246056.625
539	6243556.396
540	6241526.651
541	6241450.869
542	6240300.705
543	6239763.652
544	6239124.085
545	6236924.538
546	6235228.89
547	6233952.008
548	6232386.827
549	6230055.933
550	6227946.577
551	6225873.145
552	6223722.593
553	6222609.509
554	6222078.25
555	6219633.077
556	6216981.554
557	6214989.742
558	6213443.042
559	6212430.478
560	6210321.255
561	6208838.847
562	6206892.011
563	6203942.845
564	6202706.867
565	6199831.122
566	6198119.793
567	6197020.802
568	6195621.278
569	6194165.289
570	6191393.221
571	6189196.283
572	6185749.496
573	6182894.398
574	6180967.309
575	6177556.716
576	6176918.76
577	6174801.124
578	6172824.075
579	6168905.205
580	6167520.478
581	6164132.578
582	6162612.486
583	6161343.526
584	6159549.259
585	6156802.768
586	6156791.922
587	6154071.67
588	6152501.545
589	6151664.073
590	6149976.535
591	6149139.519
592	6146975.421
593	6144804.303
594	6142763.595
595	6141034.146
596	6140005.952
597	6139991.781
598	6139005.899
599	6137389.462
600	6135927.532
601	6134085.038
602	6132375.105
603	6129511.706
604	6127767.881
605	6126845.739
606	6125633.752
607	6123663.161
608	6122398.467
609	6119996.481
610	6117411.06
611	6117344.515
612	6112665.138
613	6111588.219
614	6111056.957
615	6108735.494
616	6106778.783
617	6105599.724
618	6103491.718
619	6102568.351
620	6100494.943
621	6098793.941
622	6097512.736
623	6095988.486
624	6094759.378
625	6093619.364
626	6092336.246
627	6089540.665
628	6088380.197
629	6087949.043
630	6086802.098
631	6085788.42
632	6084631.94
633	6083697.632
634	6081686.557
635	6080174.221
636	6078795.875
637	6076287.838
638	6074455.161
639	6073363.335
640	6073060.571
641	6072305.716
642	6070786.409
643	6069842.616
644	6068803.929
645	6065985.568
646	6064642.306
647	6063052.14
648	6062241.434
649	6060752.462
650	6058155.794
651	6056349.467
652	6055719.986
653	6054054.438
654	6051317.699
655	6049974.39
656	6048755.697
657	6048105.148
658	6046320.653
659	6044534.158
660	6042799.182
661	6041196.415
662	6040458.945
663	6038337.288
664	6037351.909
665	6036270.689
666	6035581.495
667	6034960.365
668	6031933.325
669	6031026.993
670	6028691.703
671	6026391.478
672	6025708.163
673	6023931.485
674	6023871.574
675	6022707.484
676	6021984.36
677	6020338.879
678	6019142.548
679	6018107.358
680	6017221.992
681	6015451.414
682	6014151.107
683	6011919.579
684	6009453.87
685	6008012.336
686	6006926.596
687	6005888.782
688	6005877.701
689	6004010.836
690	6002761.008
691	6002430.757
692	6001137.207
693	5999628.692
694	5997233.073
695	5996077.583
696	5995524.428
697	5994289.94
698	5992504.329
699	5991511.557
700	5990112.491
701	5987589.016
702	5986208.773
703	5984693.28
704	5983677.611
705	5982523.093
706	5980387.232
707	5978603.561
708	5977225.12
709	5976640.918
710	5975501.944
711	5974174.591
712	5973057.267
713	5971786.333
714	5970177.118
715	5968733.38
716	5967241.307
717	5965964.214
718	5964630.368
719	5962210.267
720	5960427.323
721	5959002.36
722	5957476.633
723	5955461.716
724	5954893.728
725	5953991.745
726	5953423.962
727	5952092.876
728	5950530.244
729	5948412.063
730	5946745.871
731	5945819.36
732	5943415.321
733	5941465.718
734	5939885.851
735	5938638.641
736	5937768.451
737	5936357.105
738	5935256.126
739	5934694.551
740	5933727.856
741	5932484.956
742	5930069.275
743	5928978.755
744	5927922.186
745	5926780.257
746	5925676.575
747	5925167.608
748	5923928.335
749	5923045.11
750	5922524.785
751	5921760.802
752	5920338.231
753	5919341.03
754	5918508.441
755	5917790.719
756	5917509.509
757	5916515.799
758	5914577.05
759	5913334.587
760	5911972.648
761	5910896.337
762	5910265.555
763	5907663.758
764	5906567.019
765	5905778.103
766	5904575.237
767	5903548.744
768	5901961.577
769	5900793.485
770	5899484.438
771	5898426.534
772	5897438.793
773	5896485.389
774	5894134.279
775	5893321.852
776	5892226.204
777	5890872.737
778	5889498.23
779	5888695.331
780	5887576.347
781	5886238.686
782	5885306.772
783	5883658.453
784	5881629.857
785	5881591.635
786	5881502.838
787	5880973.964
788	5880219.814
789	5878751.335
790	5877836.125
791	5876412.88
792	5874749.976
793	5873853.633
794	5872993.628
795	5871716.989
796	5869775.89
797	5868881.835
798	5868009.322
799	5867113.649
800	5866026.745
801	5865552.73
802	5863775.023
803	5862353.493
804	5860384.121
805	5859117.87
806	5858315.386
807	5857267.955
808	5855586.107
809	5854320.371
810	5853974.918
811	5852768.166
812	5852336.456
813	5852318.63
814	5851716.195
815	5851380.528
816	5851086.701
817	5849081.284
818	5848517.705
819	5847895.593
820	5845987.94
821	5844741.469
822	5843848.113
823	5842493.088
824	5840447.355
825	5839680.841
826	5837857.87
827	5836398
828	5835135.455
829	5832777.491
830	5831381.918
831	5830049.129
832	5829161.726
833	5827744.254
834	5827179.408
835	5826266.739
836	5824491.396
837	5823197.443
838	5821899.407
839	5820313.752
840	5818992.434
841	5818059.108
842	5816116.911
843	5816096.947
844	5814846.146
845	5814006.275
846	5812578.443
847	5811405.893
848	5809303.775
849	5808759.341
850	5806943.341
851	5805438.331
852	5803815.541
853	5802670.938
854	5801486.728
855	5800424.756
856	5798397.772
857	5796872.256
858	5795578.309
859	5794059.216
860	5791960.943
861	5791151.633
862	5788656.331
863	5786389.049
864	5785285.486
865	5784204.374
866	5783173.754
867	5781871.456
868	5779669.154
869	5777855.804
870	5776078.881
871	5774504.105
872	5773404.706
873	5772521.075
874	5770865.669
875	5770436.527
876	5768645.013
877	5768036.661
878	5767258.607
879	5765709.859
880	5763098.442
881	5762112.085
882	5761125.941
883	5760113.444
884	5758976.707
885	5758268.277
886	5757558.188
887	5756431.196
888	5755042.206
889	5754096.974
890	5753181.386
891	5752430.356
892	5751813.75
893	5751346.23
894	5749742.043
895	5748686.862
896	5747662.492
897	5746204.533
898	5745218.807
899	5744648.816
900	5743190.881
901	5742110.605
902	5741255.814
903	5738642.087
904	5737673.435
905	5736602.381
906	5735965.042
907	5734237.324
908	5732954.987
909	5731628.175
910	5730002.418
911	5729105.457
912	5727934.631
913	5727347.137
914	5726525.839
915	5725538.339
916	5724315.214
917	5723107.466
918	5722329.648
919	5721609.666
920	5720593.831
921	5718906.449
922	5718433.245
923	5717725.909
924	5715698.47
925	5715164.686
926	5714479.935
927	5713171.022
928	5710972.913
929	5709768.959
930	5708778.866
931	5707900.272
932	5707042.364
933	5706278.564
934	5705862.748
935	5704583.185
936	5703336.437
937	5702160.179
938	5700813.657
939	5699370.55
940	5698806.926
941	5698061.587
942	5696733.557
943	5694766.742
944	5693779.82
945	5692781.279
946	5692016.602
947	5691132.008
948	5689869.772
949	5688788.812
950	5687784.26
951	5686326.128
952	5685515.271
953	5684409.147
954	5683681.611
955	5682672.96
956	5681407.727
957	5680944.641
958	5680324.169
959	5679742.185
960	5678418.433
961	5677009.311
962	5676478.021
963	5675403.121
964	5674880.89
965	5673564.867
966	5673201.17
967	5672136.195
968	5671489.25
969	5670155.159
970	5669050.253
971	5667913.065
972	5666554.329
973	5665456.148
974	5664245.599
975	5663277.219
976	5661772.708
977	5661186.434
978	5660547.546
979	5659407.089
980	5658601.513
981	5657990.57
982	5656738.201
983	5655645.781
984	5654942.267
985	5654920.412
986	5653530.159
987	5652734.84
988	5651891.286
989	5650831.968
990	5649824.297
991	5648961.435
992	5648320.623
993	5647532.446
994	5646762.251
995	5644809.86
996	5643341.773
997	5642707.737
998	5641801.969
999	5640804.024
