iter	Passed	Remaining
406	9928	14465
407	9946	14432
408	9963	14397
409	9990	14376
410	10021	14361
411	10052	14347
412	10082	14330
413	10110	14310
414	10139	14292
415	10183	14295
416	10209	14273
417	10239	14256
418	10265	14235
419	10292	14213
420	10314	14186
421	10344	14169
422	10359	14130
423	10375	14095
424	10393	14062
425	10413	14030
426	10450	14024
427	10473	13997
428	10491	13963
429	10510	13932
430	10538	13912
431	10561	13886
432	10592	13869
433	10636	13871
434	10674	13864
435	10704	13847
436	10737	13833
437	10757	13802
438	10767	13759
439	10778	13718
440	10791	13679
441	10807	13643
442	10820	13605
443	10833	13566
444	10848	13529
445	10861	13491
446	10873	13452
447	10886	13414
448	10899	13375
449	10912	13338
450	10924	13298
451	10937	13260
452	10950	13222
453	10960	13181
454	10972	13143
455	10985	13105
456	10996	13065
457	11008	13028
458	11022	12992
459	11035	12955
460	11050	12920
461	11067	12888
462	11082	12853
463	11095	12817
464	11108	12781
465	11122	12745
466	11134	12708
467	11146	12671
468	11159	12635
469	11174	12600
470	11187	12565
471	11198	12527
472	11211	12491
473	11228	12460
474	11240	12423
475	11254	12388
476	11266	12353
477	11279	12318
478	11295	12286
479	11314	12257
480	11333	12228
481	11346	12194
482	11360	12160
483	11374	12126
484	11387	12092
485	11400	12057
486	11415	12024
487	11431	11994
488	11443	11958
489	11461	11929
490	11478	11899
491	11494	11867
492	11507	11834
493	11521	11801
494	11535	11768
495	11548	11735
496	11562	11701
497	11576	11669
498	11588	11635
499	11600	11600
500	11613	11567
501	11625	11533
502	11651	11512
503	11684	11499
504	11701	11469
505	11727	11449
506	11740	11416
507	11756	11385
508	11768	11352
509	11782	11320
510	11796	11288
511	11810	11256
512	11821	11222
513	11835	11190
514	11848	11158
515	11862	11126
516	11874	11093
517	11889	11063
518	11902	11030
519	11914	10997
520	11926	10965
521	11939	10933
522	11952	10901
523	11964	10868
524	11973	10833
525	11985	10800
526	11996	10766
527	12008	10734
528	12022	10704
529	12033	10671
530	12046	10640
531	12058	10608
532	12073	10578
533	12088	10549
534	12102	10518
535	12136	10505
536	12153	10478
537	12174	10454
538	12187	10423
539	12201	10393
540	12215	10364
541	12230	10334
542	12244	10305
543	12259	10275
544	12273	10246
545	12289	10218
546	12303	10188
547	12315	10157
