iter	Passed	Remaining
413	2695	3815
414	2698	3804
415	2701	3792
416	2704	3781
417	2707	3769
418	2710	3758
419	2713	3747
420	2716	3736
421	2719	3725
422	2723	3714
423	2725	3703
424	2728	3691
425	2731	3681
426	2735	3670
427	2738	3659
428	2740	3648
429	2744	3637
430	2746	3626
431	2750	3615
432	2753	3605
433	2756	3594
434	2759	3584
435	2762	3573
436	2765	3562
437	2768	3552
438	2771	3541
439	2774	3531
440	2777	3521
441	2780	3510
442	2783	3500
443	2786	3489
444	2789	3479
445	2792	3469
446	2796	3459
447	2799	3449
448	2804	3441
449	2807	3431
450	2811	3421
451	2814	3411
452	2817	3401
453	2820	3391
454	2823	3382
455	2826	3372
456	2830	3362
457	2833	3353
458	2837	3344
459	2840	3334
460	2844	3325
461	2847	3315
462	2850	3305
463	2853	3296
464	2856	3286
465	2859	3276
466	2862	3267
467	2866	3258
468	2869	3249
469	2872	3239
470	2875	3229
471	2878	3220
472	2882	3211
473	2884	3201
474	2888	3192
475	2891	3182
476	2894	3173
477	2897	3164
478	2900	3155
479	2904	3146
480	2907	3137
481	2911	3128
482	2914	3119
483	2917	3110
484	2920	3100
485	2923	3091
486	2926	3082
487	2929	3073
488	2935	3067
489	2943	3063
490	2946	3054
491	2949	3045
492	2953	3036
493	2956	3028
494	2959	3019
495	2962	3009
496	2965	3000
497	2969	2992
498	2971	2983
499	2975	2975
500	2978	2966
501	2981	2957
502	2984	2948
503	2987	2939
504	2990	2930
505	2992	2921
506	2995	2912
507	2998	2903
508	3001	2894
509	3004	2886
510	3007	2878
511	3011	2869
512	3014	2861
513	3017	2852
514	3020	2844
515	3025	2837
516	3028	2829
517	3031	2820
518	3034	2812
519	3037	2804
520	3040	2795
521	3044	2788
522	3048	2780
523	3051	2771
524	3054	2763
525	3057	2755
526	3061	2747
527	3064	2739
528	3067	2730
529	3070	2722
530	3073	2714
531	3076	2706
532	3079	2697
533	3082	2689
534	3085	2681
535	3088	2673
536	3092	2666
537	3095	2658
538	3102	2653
539	3107	2646
540	3117	2644
541	3126	2641
542	3135	2639
543	3146	2637
544	3156	2635
545	3165	2632
546	3173	2628
547	3182	2624
548	3196	2625
549	3206	2623
550	3217	2621
551	3224	2617
552	3232	2612
553	3245	2612
554	3258	2612
555	3280	2620
556	3293	2619
557	3311	2623
558	3335	2631
559	3355	2636
560	3372	2639
561	3389	2641
562	3400	2639
563	3411	2637
564	3421	2634
565	3433	2632
566	3440	2627
567	3452	2625
568	3460	2621
569	3471	2618
570	3477	2612
571	3487	2609
572	3495	2604
573	3506	2602
574	3512	2596
575	3525	2595
576	3532	2590
577	3541	2585
578	3551	2582
579	3557	2575
580	3567	2572
581	3577	2569
582	3585	2564
583	3591	2558
584	3597	2551
585	3606	2547
586	3612	2541
587	3622	2538
588	3628	2531
589	3638	2528
590	3647	2524
591	3657	2520
592	3663	2514
593	3673	2510
594	3683	2507
595	3687	2499
596	3691	2491
597	3696	2485
598	3701	2478
599	3711	2474
600	3720	2470
601	3730	2466
602	3736	2459
603	3746	2455
604	3757	2453
605	3763	2447
606	3773	2442
607	3780	2437
608	3784	2429
609	3787	2421
610	3790	2413
611	3793	2404
612	3800	2399
613	3804	2391
614	3809	2384
615	3819	2380
616	3824	2373
617	3829	2366
618	3832	2358
619	3835	2350
620	3838	2342
621	3841	2334
622	3844	2326
623	3848	2318
624	3851	2310
625	3855	2303
626	3858	2295
627	3862	2287
628	3865	2279
629	3868	2272
630	3871	2264
631	3875	2256
632	3882	2251
633	3887	2244
634	3891	2237
635	3894	2229
636	3898	2221
637	3901	2213
638	3905	2206
639	3908	2198
640	3912	2191
641	3914	2183
